File,True_Label,Predicted,Avg_F0,Std_F0,Avg_ZCR,Avg_Energy,Correct
G06_D05_C_10_Furious_C3.wav,Child,Child,384.66,43.25,1642.97,77.578557,True
G06_D05_C_10_Shocked_C5.wav,Child,Child,334.67,71.14,3069.86,37.97101,True
G06_D06_C_08_Neutral_C1.wav,Child,Child,398.94,82.36,3650.86,20.709653,True
G06_D06_C_08_Furious_C3.wav,Child,Child,399.08,47.33,4368.2,36.904787,True
G06_D06_C_08_Shocked_C5.wav,Child,Child,400.0,59.23,6270.71,44.639168,True
G09_D01_K_22_Sad_C4.wav,Woman,Woman,209.55,21.03,2737.95,116.3665,True
G09_D01_K_22_Happy_C2.wav,Woman,Child,273.45,30.88,1160.4,132.385426,False
G09_D01_K_22_Furious_C3.wav,Woman,Woman,248.99,36.5,1616.62,56.154686,True
G09_D02_K_21_Furious_C3.wav,Woman,Child,317.88,63.48,2460.77,94.162781,False
G09_D02_K_21_Happy_C2.wav,Woman,Child,319.33,50.5,2493.23,142.225466,False
G09_D02_K_21_Neutral_C1.wav,Woman,Woman,188.61,34.8,2882.15,58.084174,True
G09_D03_E_21_Neutral_C1.wav,Male,Male,132.92,43.58,1827.09,52.915429,True
G09_D03_E_21_Happy_C2.wav,Male,Male,138.96,39.95,1959.76,51.974507,True
G09_D04_E_42_Furious_C3.wav,Male,Woman,193.55,29.18,1959.22,96.786875,False
G09_D04_E_42_Shocked_C5.wav,Male,Woman,166.15,25.08,2583.69,74.992954,False
G09_D05_C_11_Shocked_C5.wav,Child,Child,427.14,57.63,4362.93,33.152241,True
G09_D05_C_11_Sad_C4.wav,Child,Child,437.8,100.28,2823.57,67.360329,True
G09_D05_C_11_Furious_C3.wav,Child,Child,432.89,84.63,2989.61,57.653667,True
G09_D06_C_12_Sad_C4.wav,Child,Child,279.76,44.68,3402.24,112.571265,True
G09_D06_C_12_Furious_C3.wav,Child,Child,390.6,66.15,3700.75,79.137485,True
G10_D01_C_11_Furious_C3.wav,Child,Child,447.91,68.64,2395.34,44.287967,True
G10_D01_C_11_Happy_C2.wav,Child,Child,425.67,82.67,1505.63,25.640578,True
G10_D01_C_11_Sad_C4.wav,Child,Child,336.29,45.76,2640.28,20.351847,True
G10_D02_M_25_Neutral_C1.wav,Male,Male,112.68,13.3,1421.42,21.186747,True
G10_D02_M_25_Sad_C4.wav,Male,Male,112.0,11.33,1278.74,20.176089,True
G10_D02_M_25_Shocked_C5.wav,Male,Male,156.65,47.56,1796.19,34.721932,True
G10_D03_M_23_Happy_C2.wav,Male,Male,123.63,19.99,1376.6,35.90783,True
G10_D03_M_23_Neutral_C1.wav,Male,Male,108.97,23.37,1540.33,24.854074,True
G10_D03_M_23_Shocked_C5.wav,Male,Male,132.22,9.38,2479.89,28.138554,True
G10_D04_F_17_Furious_C3.wav,Woman,Child,318.14,61.99,1491.14,28.820669,False
G10_D04_F_17_Neutral_C1.wav,Woman,Woman,245.91,66.51,1437.29,5.690247,True
G10_D04_F_17_Sad_C4.wav,Woman,Child,255.52,75.44,1472.63,15.951224,False
G10_D05_C_11_Happy_C2.wav,Child,Child,306.05,46.43,1998.02,29.872077,True
G10_D05_C_11_Neutral_C1.wav,Child,Child,345.83,53.86,2556.23,26.9206,True
G10_D05_C_11_Sad_C4.wav,Child,Child,318.9,46.68,2800.0,18.565344,True
G10_D06_F_30_Furious_C3.wav,Woman,Child,257.19,48.3,2057.93,40.152332,False
G10_D06_F_30_Happy_C2.wav,Woman,Woman,252.72,50.64,1562.51,45.967723,True
G10_D06_F_30_Neutral_C1.wav,Woman,Woman,213.38,46.14,2138.81,37.08926,True
G11_D01_C_11_Furious_C3.wav,Child,Child,344.44,31.26,1592.41,67.096125,True
G11_D01_C_11_Neutral_C1.wav,Child,Woman,244.42,34.6,1285.16,32.884005,False
G11_D01_C_11_Shocked_C5.wav,Child,Child,295.96,33.01,2284.35,32.078253,True
G11_D02_C_16_Furious_C3.wav,Child,Child,321.49,52.41,2754.18,37.484106,True
G11_D02_C_16_Happy_C2.wav,Child,Child,343.78,34.81,2331.81,72.813382,True
G11_D02_C_16_Neutral_C1.wav,Child,Child,278.43,30.26,1942.87,32.485877,True
G11_D03_M_21_Furious_C3.wav,Male,Male,115.11,10.83,1113.84,46.425022,True
G11_D03_M_21_Sad_C4.wav,Male,Male,103.78,25.45,1271.2,23.764547,True
G11_D03_M_21_Shocked_C5.wav,Male,Male,124.28,10.31,2000.49,30.885137,True
G11_D04_F_24_Furious_C3.wav,Woman,Woman,234.15,44.11,1448.9,2.489595,True
G11_D04_F_24_Happy_C2.wav,Woman,Child,277.67,29.16,1158.65,3.590262,False
G11_D04_F_24_Neutral_C1.wav,Woman,Woman,223.93,30.5,1627.28,3.100503,True
G11_D05_F_20_Furious_C3.wav,Woman,Child,257.09,37.08,1750.56,29.703175,False
G11_D05_F_20_Happy_C2.wav,Woman,Child,300.7,38.7,1395.75,24.757528,False
G11_D05_F_20_Sad_C4.wav,Woman,Woman,236.11,33.73,2043.63,18.989126,True
G11_D06_M_22_Furious_C3.wav,Male,Male,158.69,29.39,1736.28,40.917073,True
G11_D06_M_22_Neutral_C1.wav,Male,Male,102.62,8.7,1244.31,12.655084,True
G11_D06_M_22_Shocked_C5.wav,Male,Male,155.58,16.88,2472.5,26.84749,True
G12_D01_K_23_Happy_C2.wav,Woman,Child,304.65,50.47,1364.51,2.427336,False
G12_D01_K_23_Neutral_C1.wav,Woman,Child,256.0,30.93,1455.1,0.46924,False
G12_D01_K_23_Shocked_C5.wav,Woman,Child,321.39,40.13,2048.67,1.336059,False
G12_D02_K_21_Furious_C3.wav,Woman,Child,270.21,36.73,1496.15,1.500703,False
G12_D02_K_21_Neutral_C1.wav,Woman,Woman,237.28,33.22,1034.35,0.672188,True
G12_D02_K_21_Sad_C4.wav,Woman,Woman,220.21,26.99,995.13,0.476338,True
G12_D03_E_21_Neutral_C1.wav,Male,Male,108.55,8.65,3100.67,0.018301,True
G12_D03_E_21_Sad_C4.wav,Male,Male,104.82,10.4,3010.14,0.030434,True
G12_D03_E_21_Shocked_C5.wav,Male,Male,119.37,7.55,3498.11,0.058447,True
G12_D04_E_61_Furious_C3.wav,Male,Woman,253.32,74.52,1513.75,185.815512,False
